,sal,rooz,Month,zola_Debi
5654,1355,13,5,
5655,1355,14,5,0.01
5656,1355,15,5,0.01
5657,1355,16,5,4.34
5658,1355,17,5,0.86
5659,1355,18,5,1.08
5660,1355,19,5,0.65
5661,1355,20,5,0.12
5662,1355,21,5,0.03
5663,1355,22,5,0.02
5664,1355,23,5,0.02
5665,1355,24,5,0.02
5666,1355,25,5,0.02
5667,1355,26,5,0.02
5668,1355,27,5,0.02
5669,1355,28,5,0.02
5670,1355,29,5,0.02
5671,1355,30,5,0.02
5672,1355,31,5,0.02
7037,1355,1,6,0.02
7038,1355,2,6,0.02
7039,1355,3,6,0.02
7040,1355,4,6,0.02
7041,1355,5,6,0.02
7042,1355,6,6,0.02
7043,1355,7,6,12.74
7044,1355,8,6,3.04
7045,1355,9,6,1.4
7046,1355,10,6,0.97
7047,1355,11,6,0.76
7048,1355,12,6,0.86
7049,1355,13,6,0.65
7050,1355,14,6,0.76
7051,1355,15,6,2.05
7052,1355,16,6,1.4
7053,1355,17,6,0.76
7054,1355,18,6,0.37
7055,1355,19,6,0.2
7056,1355,20,6,0.03
7057,1355,21,6,0.03
7058,1355,22,6,0.02
7059,1355,23,6,0.01
7060,1355,24,6,0.01
7061,1355,25,6,0.01
7062,1355,26,6,
7063,1355,27,6,
7064,1355,28,6,
7065,1355,29,6,
7066,1355,30,6,
7067,1355,31,6,
8432,1355,1,7,0.02
8433,1355,2,7,0.02
8434,1355,3,7,0.03
8435,1355,4,7,0.01
8436,1355,5,7,0.02
8437,1355,6,7,0.02
8438,1355,7,7,0.01
8439,1355,8,7,0.01
8440,1355,9,7,0.01
8441,1355,10,7,0.01
8442,1355,11,7,0.02
8443,1355,12,7,0.02
8444,1355,13,7,0.01
8445,1355,14,7,0.02
8446,1355,15,7,0.02
8447,1355,16,7,0.01
8448,1355,17,7,0.01
8449,1355,18,7,0.02
8450,1355,19,7,0.01
8451,1355,20,7,0.01
8452,1355,21,7,0.01
8453,1355,22,7,0.02
8454,1355,23,7,0.02
8455,1355,24,7,0.02
8456,1355,25,7,0.02
8457,1355,26,7,0.02
8458,1355,27,7,0.02
8459,1355,28,7,0.02
8460,1355,29,7,0.02
8461,1355,30,7,0.02
8462,1355,31,7,
9827,1355,1,8,0.01
9828,1355,2,8,0.02
9829,1355,3,8,0.02
9830,1355,4,8,0.03
9831,1355,5,8,0.03
9832,1355,6,8,0.03
9833,1355,7,8,0.03
9834,1355,8,8,0.2
9835,1355,9,8,0.76
9836,1355,10,8,0.76
9837,1355,11,8,0.76
9838,1355,12,8,0.76
9839,1355,13,8,0.65
9840,1355,14,8,0.65
9841,1355,15,8,0.65
9842,1355,16,8,0.65
9843,1355,17,8,0.65
9844,1355,18,8,0.65
9845,1355,19,8,0.46
9846,1355,20,8,0.65
9847,1355,21,8,0.54
9848,1355,22,8,0.65
9849,1355,23,8,0.65
9850,1355,24,8,0.65
9851,1355,25,8,0.76
9852,1355,26,8,0.86
9853,1355,27,8,0.86
9854,1355,28,8,0.76
9855,1355,29,8,0.76
9856,1355,30,8,0.86
9857,1355,31,8,
11222,1355,1,9,0.86
11223,1355,2,9,0.86
11224,1355,3,9,0.97
11225,1355,4,9,1.19
11226,1355,5,9,1.08
11227,1355,6,9,1.08
11228,1355,7,9,1.3
11229,1355,8,9,1.3
11230,1355,9,9,1.3
11231,1355,10,9,1.4
11232,1355,11,9,1.4
11233,1355,12,9,1.4
11234,1355,13,9,1.4
11235,1355,14,9,1.4
11236,1355,15,9,1.4
11237,1355,16,9,1.4
11238,1355,17,9,1.51
11239,1355,18,9,1.51
11240,1355,19,9,2.05
11241,1355,20,9,1.9
11242,1355,21,9,2.05
11243,1355,22,9,2.05
11244,1355,23,9,2.05
11245,1355,24,9,1.9
11246,1355,25,9,1.62
11247,1355,26,9,1.62
11248,1355,27,9,1.62
11249,1355,28,9,1.62
11250,1355,29,9,1.76
11251,1355,30,9,1.76
